ID,Name,Type,Operator,Access,Latitude,Longitude,Power_kW,Voltage,Capacity,Socket_Types,Street,City,Postcode,Country,Opening_Hours,OSM_Link
10884525830,E-HDT Charging Station,private,Kaufland Stiftung,yes,51.8994963,8.4017356,,,3,ccs: 2; ccs:output: 60 kW; type2: 1; type2:output: 22 kW,,,,Germany,,https://www.openstreetmap.org/node/10884525830
10925699827,E-HDT Charging Station,private,Lidl,,51.7757979,8.8049284,,,3,ac: 1; ac:output: 22 kW; ccs: 1; ccs:output: 50 kW; chademo: 1; chademo:output: 50 kW,,,,Germany,,https://www.openstreetmap.org/node/10925699827
11243792117,E-HDT Charging Station,private,Lidl,,51.8574182,7.4810467,,,,ac: 1; ccs: 1; chademo: 1,,,,Germany,,https://www.openstreetmap.org/node/11243792117
11262690248,E-HDT Charging Station,private,Ionity,,54.0831435,12.1925233,,,1,,,,,Germany,24/7,https://www.openstreetmap.org/node/11262690248
11332739608,E-HDT Charging Station,private,Pfalzwerke,yes,51.6178611,7.6567566,,,300KW,,,,,Germany,,https://www.openstreetmap.org/node/11332739608
11376139991,E-HDT Charging Station,private,Aral,,51.5316718,7.4413932,,,2,,,,,Germany,,https://www.openstreetmap.org/node/11376139991
11395532324,E-HDT Charging Station,private,,,52.4309537,7.0638787,,,150kW,,,,,Germany,,https://www.openstreetmap.org/node/11395532324
11395532325,E-HDT Charging Station,private,,,52.4309812,7.0638203,,,150kW,,,,,Germany,,https://www.openstreetmap.org/node/11395532325
11753476972,E-HDT Charging Station,private,Mainova,yes,50.1605711,8.4870549,,,300 kW,,,,,Germany,,https://www.openstreetmap.org/node/11753476972
11776574719,E-HDT Charging Station,private,Stadtwerke Neu-Isenburg,yes,50.0588225,8.7502695,,,150kW DC,,,,,Germany,,https://www.openstreetmap.org/node/11776574719
11784738384,E-HDT Charging Station,private,numbat,yes,49.9849015,9.1325349,,,300 kW,,,,,Germany,,https://www.openstreetmap.org/node/11784738384
11800001141,E-HDT Charging Station,private,EDEKA,,51.6252522,7.400292,,,4,ccs: 2; chademo: 2,,,,Germany,,https://www.openstreetmap.org/node/11800001141
12049986414,E-HDT Charging Station,private,BayWa,,48.3890661,10.86458,,,2,type2_combo:output: 200 kW,,,,Germany,,https://www.openstreetmap.org/node/12049986414
12049986415,E-HDT Charging Station,private,BayWa,,48.3891056,10.8645923,,,2,type2_combo:output: 200 kW,,,,Germany,,https://www.openstreetmap.org/node/12049986415
12049986416,E-HDT Charging Station,private,BayWa,,48.3891451,10.8646046,,,2,type2_combo:output: 200 kW,,,,Germany,,https://www.openstreetmap.org/node/12049986416
12049986417,E-HDT Charging Station,private,BayWa,,48.3891846,10.8646169,,,2,type2_combo:output: 200 kW,,,,Germany,,https://www.openstreetmap.org/node/12049986417
12138461901,XXXLutz,private,Pfalzwerke,,52.3695969,10.7346113,,,12,ccs: 12,,,,Germany,,https://www.openstreetmap.org/node/12138461901
12149992442,E-HDT Charging Station,private,Aral,,51.0063931,9.4739003,,,2,type2_combo: 4; type2_combo:output: 300 kW,,,,Germany,,https://www.openstreetmap.org/node/12149992442
12150038902,E-HDT Charging Station,private,Aral pulse,,48.5058355,8.8264149,,,2,type2_combo: 4; type2_combo:output: 300 kW,,,,Germany,,https://www.openstreetmap.org/node/12150038902
12153215557,E-HDT Charging Station,private,EON,,48.4044299,10.8797416,,,2,type2_combo:output: 300 kW,,,,Germany,,https://www.openstreetmap.org/node/12153215557
12153215558,E-HDT Charging Station,private,EON,,48.404434,10.8798473,,,2,type2_combo:output: 150 kW,,,,Germany,,https://www.openstreetmap.org/node/12153215558
12153215559,E-HDT Charging Station,private,EON,,48.4044382,10.879953,,,2,type2_combo:output: 150 kW,,,,Germany,,https://www.openstreetmap.org/node/12153215559
12154356998,E-HDT Charging Station,private,,,48.4010398,10.8809321,,,2,type2_combo:output: 100 kW,,,,Germany,,https://www.openstreetmap.org/node/12154356998
12183628298,E-HDT Charging Station,private,,,47.8417423,9.6600778,,,2,ccs: 2; ccs:output: 22 kw,,,,Germany,,https://www.openstreetmap.org/node/12183628298
12211262391,E-HDT Charging Station,private,,,52.7502543,7.1637156,,,,,,,,Germany,,https://www.openstreetmap.org/node/12211262391
12278609218,E-HDT Charging Station,private,N-Ergie AG,,49.3170395,11.3390212,,,2,type2_combo: 2; type2_combo:output: 150 kW; type2_combo:voltage: 1000,,,,Germany,24/7,https://www.openstreetmap.org/node/12278609218
12305995582,E-HDT Charging Station,private,EnBW,,48.404689,10.8790796,,,2,type2_combo:output: 300 kW,,,,Germany,,https://www.openstreetmap.org/node/12305995582
12305995583,E-HDT Charging Station,private,EnBW,,48.4047316,10.8790751,,,2,type2_combo:output: 150 kW,,,,Germany,,https://www.openstreetmap.org/node/12305995583
