route_name,ref_number,highway_type,distance_km,distance_category,quality_score,corridor_relevance,eHDT_suitability,is_major_highway,state_classification,key_waypoints,start_lat,start_lon,end_lat,end_lon,lanes,maxspeed,surface,toll,access,hdt_classification,hdt_suitable,hdt_priority,speed_limit_hdt,major_route,route_description,num_segments,consolidated,original_segments,estimated_hours,estimated_fuel_liters,route_id
Rajiv Gandhi IT Expressway,SH49A,primary,0.85,Short (<100km),67.49,0.9033,Good,True,Within_TN,Chennai,12.9867,80.2516,12.9878,80.2513,3.0,,asphalt,,,expressway,True,medium,100,,"State Highways (SH), HDT accessible",5,True,5,0.01,0.1,162
R.R Road,SH242,primary,0.68,Short (<100km),56.29,0.4923,Good,True,Within_TN,Vellore → Ranipet,12.9251,79.3338,12.9269,79.3316,,,asphalt,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",15,True,15,0.01,0.1,163
Long Bazar,Vellore,primary,0.49,Short (<100km),56.13,0.4451,Good,True,Within_TN,VELLORE,12.9191,79.1333,12.9235,79.133,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",1,True,1,0.01,0.1,164
Perambur Cross Road,O5008,primary,0.41,Short (<100km),68.62,0.9449,Good,True,Within_TN,AMBUR,13.1288,80.2416,13.1269,80.2415,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",2,True,2,0.01,0.1,165
Chennai Bangalore Highway,SHU86,trunk,0.33,Short (<100km),72.31,0.8924,Good,True,Within_TN,"CHENNAI, BANGALORE",13.0613,80.1617,13.0613,80.1605,2.0,40.0,asphalt,,,national_highway,True,medium,80,,"National Highways (NH), main HDT corridors",2,True,2,0.0,0.1,166
Kancheepuram Bypass Road,O1947,primary,0.24,Short (<100km),57.74,0.5095,Good,True,Within_TN,Industrial corridor route,12.5069,79.6034,12.5071,79.6055,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",1,True,1,0.0,0.0,167
Electronic City Elevated Expressway,BETL,motorway,0.19,Short (<100km),76.54,0.8617,Good,True,TN_to_KA,Bengaluru → Hosur → Electronic City,12.8467,77.6699,12.8459,77.6684,2.0,60.0,asphalt,,,expressway,True,medium,100,,"Controlled-access expressways, fully HDT suitable",1,True,1,0.0,0.0,168
Vanagaram - Ambathur - Puzhal Road,SH205,trunk,0.14,Short (<100km),71.93,0.8774,Good,True,Within_TN,Chennai → Sriperumbudur,13.1224,80.1472,13.1227,80.1484,,,,,,national_highway,True,medium,80,,"National Highways (NH), main HDT corridors",1,True,1,0.0,0.0,169
Budigere Road,104A,primary,0.08,Short (<100km),66.04,0.8417,Good,True,TN_to_KA,Bengaluru → Electronic City,13.046,77.7505,13.0463,77.7503,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",2,True,2,0.0,0.0,170
Anna Salai (Mount Road),NH32,primary,0.06,Short (<100km),67.84,0.9136,Good,True,Within_TN,Chennai → Sriperumbudur,13.012,80.2216,13.0121,80.2211,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",1,True,1,0.0,0.0,171
East Coast Road SH49,ECR,primary,0.05,Short (<100km),63.8,0.7518,Good,True,Within_TN,Industrial corridor route,12.785,80.2449,12.7854,80.2447,,,,yes,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",1,True,1,0.0,0.0,172
Ennore High Road,MDR1022,primary,0.05,Short (<100km),68.15,0.9262,Good,True,Within_TN,Chennai,13.1526,80.2886,13.1527,80.2886,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",4,True,4,0.0,0.0,173
Palace Road,NH7,primary,0.05,Short (<100km),69.61,0.9844,Good,True,TN_to_KA,Bengaluru → Electronic City,12.9846,77.5885,12.9847,77.5883,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",2,True,2,0.0,0.0,174
Kalaingar Karunanidhi Salai,MDR49B,primary,0.04,Short (<100km),65.71,0.8291,Good,True,Within_TN,Chennai,12.8977,80.2474,12.8977,80.2475,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",3,True,3,0.0,0.0,175
Anna Salai (Mount Road),NH45,primary,0.02,Short (<100km),68.18,0.9274,Good,True,Within_TN,Chennai,13.0247,80.229,13.0248,80.2291,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",1,True,1,0.0,0.0,176
Rajiv Gandhi Salai,OMR,primary,0.01,Short (<100km),67.98,0.9194,Good,True,Within_TN,Chennai,13.0068,80.2474,13.0066,80.2474,3.0,,asphalt,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",1,True,1,0.0,0.0,177
Madras Thiruttani Road,SH 58,primary,0.01,Short (<100km),61.25,0.6499,Good,True,Within_TN,Industrial corridor route,12.682,79.9888,12.682,79.9887,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",1,True,1,0.0,0.0,178
Hosur Road,NH44,trunk,200.17,Short (<100km),69.67,0.9344,Good,True,TN_to_KA,HOSUR → Bengaluru → Electronic City → Industrial corridor route → Hosur,12.9151,77.624,12.9141,77.6247,3.0,80.0,asphalt,,,national_highway,True,high,80,NH44,"National Highways (NH), main HDT corridors",289,True,289,2.5,33.4,179
Dr. CV Raman Road,NH48,trunk,112.19,Short (<100km),69.11,0.9533,Good,True,TN_to_KA,"Bengaluru → Electronic City → CHENNAI, BANGALORE → Chennai → Sriperumbudur",13.0145,77.5835,13.0147,77.5785,2.0,60.0,concrete,,,national_highway,True,high,80,NH48,"National Highways (NH), main HDT corridors",197,True,197,1.4,18.7,180
Srinagar - Kanyakumari Highway,NH44;NH48,trunk,36.2,Short (<100km),72.71,0.9369,Good,True,TN_to_KA,Bengaluru → Hosur → Electronic City → HOSUR,12.9174,77.6229,12.9173,77.623,2.0,80.0,asphalt,,,national_highway,True,high,80,NH44,"National Highways (NH), main HDT corridors",133,True,133,0.45,6.0,181
Bangalore - Nelamangala Expressway,NH48;NH75,motorway,25.09,Short (<100km),75.94,0.8802,Good,True,TN_to_KA,BANGALORE,13.0519,77.4886,13.0489,77.497,3.0,80.0,asphalt,,,expressway,True,high,100,NH48,"Controlled-access expressways, fully HDT suitable",62,True,62,0.25,4.2,182
Outer Ring Road Underpass,NH44;NH48;NH75,trunk,22.73,Short (<100km),73.07,0.9306,Good,True,TN_to_KA,Bengaluru → Electronic City,13.0275,77.6332,13.0278,77.6325,3.0,60.0,concrete,,,national_highway,True,high,80,NH44,"National Highways (NH), main HDT corridors",92,True,92,0.28,3.8,183
Tumkur Road,NH48;NH75,trunk,9.97,Short (<100km),72.62,0.9201,Good,True,TN_to_KA,Bengaluru → Electronic City,13.0289,77.5399,13.0303,77.5372,3.0,60.0,asphalt,,,national_highway,True,high,80,NH48,"National Highways (NH), main HDT corridors",16,True,16,0.12,1.7,184
Bangalore - Nelamangala Expressway,NH48,motorway,4.86,Short (<100km),74.77,0.7944,Good,True,TN_to_KA,BANGALORE,13.0939,77.3912,13.0957,77.388,3.0,80.0,asphalt,yes,,expressway,True,high,100,NH48,"Controlled-access expressways, fully HDT suitable",10,True,10,0.05,0.8,185
Sankey Road,NH44,primary,2.41,Short (<100km),69.31,0.9827,Good,True,TN_to_KA,Bengaluru → Electronic City,12.9865,77.5888,12.9867,77.5887,3.0,,asphalt,,,state_highway,True,high,60,NH44,"State Highways (SH), HDT accessible",23,True,23,0.04,0.4,186
Outer Ring Road,NH75;NH44,trunk,0.41,Short (<100km),73.18,0.9277,Good,True,TN_to_KA,Bengaluru → Electronic City,13.042,77.5939,13.0427,77.5907,3.0,60.0,asphalt,,,national_highway,True,high,80,NH44,"National Highways (NH), main HDT corridors",3,True,3,0.01,0.1,187
Outer Ring Road,NH44;NH75,trunk,0.06,Short (<100km),73.19,0.9277,Good,True,TN_to_KA,Bengaluru → Electronic City,13.0422,77.5938,13.042,77.5943,3.0,60.0,asphalt,,,national_highway,True,high,80,NH44,"National Highways (NH), main HDT corridors",1,True,1,0.0,0.0,188
Dr. CV Raman Road,NH48,primary,0.03,Short (<100km),68.83,0.9534,Good,True,TN_to_KA,Bengaluru → Electronic City,13.0145,77.5838,13.0145,77.5835,3.0,60.0,asphalt,,,state_highway,True,high,60,NH48,"State Highways (SH), HDT accessible",1,True,1,0.0,0.0,189
