route_name,ref_number,highway_type,distance_km,distance_category,quality_score,corridor_relevance,eHDT_suitability,is_major_highway,state_classification,key_waypoints,start_lat,start_lon,end_lat,end_lon,lanes,maxspeed,surface,toll,access,hdt_classification,hdt_suitable,hdt_priority,speed_limit_hdt,major_route,route_description,num_segments,consolidated,original_segments,estimated_hours,estimated_fuel_liters,route_id
Vanagaram - Ambathur - Puzhal Road,SH205,primary,15.8,Short (<100km),67.21,0.8999,Good,True,Within_TN,Chennai → Sriperumbudur,13.1582,80.203,13.1583,80.2027,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",22,True,22,0.26,2.6,92
Chennai - Ennore Road,SH114,primary,15.71,Short (<100km),67.51,0.9317,Good,True,Within_TN,CHENNAI,13.1439,80.2966,13.1457,80.2973,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",21,True,21,0.26,2.6,93
Bangalore-Mysore Road,NH275,trunk,15.42,Short (<100km),72.23,0.9261,Good,True,TN_to_KA,BANGALORE,12.9434,77.5262,12.9439,77.5267,,,,,,national_highway,True,medium,80,,"National Highways (NH), main HDT corridors",38,True,38,0.19,2.6,94
Chennai - Ennore Expressway Road,SH1,primary,15.42,Short (<100km),67.61,0.9312,Good,True,Within_TN,CHENNAI,13.1432,80.2997,13.1841,80.3165,,,,,,expressway,True,medium,100,,"State Highways (SH), HDT accessible",6,True,6,0.15,2.6,95
Wall Tax Road,SHU87,primary,15.28,Short (<100km),69.13,0.994,Good,True,Within_TN,Chennai,13.0819,80.2762,13.1039,80.2735,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",55,True,55,0.25,2.5,96
Tirupattur - Natrampalli Road,SH244,primary,15.07,Short (<100km),56.8,0.4809,Good,True,Within_TN,TIRUPATTUR,12.5764,78.5096,12.5902,78.5095,,,asphalt,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",5,True,5,0.25,2.5,97
Budigere Road,SH 104A,primary,14.93,Short (<100km),65.52,0.8423,Good,True,TN_to_KA,Bengaluru → Electronic City,13.0641,77.7391,13.078,77.7368,2.0,,asphalt,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",26,True,26,0.25,2.5,98
Madhavaram - Red Hills Road,SH111,primary,14.3,Short (<100km),67.94,0.9432,Good,True,Within_TN,Chennai,13.1296,80.2417,13.1291,80.2416,2.0,,asphalt,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",28,True,28,0.24,2.4,99
Yelagiri Hill Road,SH243,primary,14.19,Short (<100km),56.55,0.4627,Good,True,Within_TN,Industrial corridor route,12.6008,78.5952,12.6006,78.5953,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",4,True,4,0.24,2.4,100
Chennai - Chittoor - Bangalore Road (Old NH4),SHU3,primary,14.17,Short (<100km),63.92,0.8605,Good,True,Within_TN,"CHENNAI, BANGALORE, CHITTOOR → Chennai → Sriperumbudur",13.0548,80.124,13.0449,80.1156,,,asphalt,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",22,True,22,0.24,2.4,101
Nelvoy - Pallikonda Road,SH240,primary,13.99,Short (<100km),55.69,0.4411,Good,True,Within_TN,Vellore → Ranipet,12.8363,79.1304,12.8716,79.0588,2.0,,asphalt,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",7,True,7,0.23,2.3,102
Ring Road,NH73,trunk,13.76,Short (<100km),65.56,0.6229,Good,True,TN_to_KA,Industrial corridor route,13.3076,77.1538,13.3071,77.1533,2.0,,,,,national_highway,True,medium,80,,"National Highways (NH), main HDT corridors",6,True,6,0.17,2.3,103
Thirukalukundram - Mamallapuram Road,SH49B,primary,13.22,Short (<100km),61.35,0.6539,Good,True,Within_TN,Industrial corridor route,12.6148,80.1696,12.6101,80.0566,,,,yes,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",1,True,1,0.22,2.2,104
Nagari – Pallipattu Road,SH53,primary,12.53,Short (<100km),58.44,0.5443,Good,True,Within_TN,Industrial corridor route,13.3231,79.5382,13.3318,79.4941,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",2,True,2,0.21,2.1,105
Bagalur - Berigai Road,SH17C,primary,12.21,Short (<100km),63.72,0.75,Good,True,TN_to_KA,Hosur → Electronic City,12.8341,77.8685,12.8344,77.8681,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",5,True,5,0.2,2.0,106
Anna Salai,NH38,trunk,12.13,Short (<100km),61.09,0.4448,Good,True,Within_TN,Vellore → Ranipet,12.9238,79.1314,12.9136,79.1323,,,,,,national_highway,True,medium,80,,"National Highways (NH), main HDT corridors",3,True,3,0.15,2.0,107
Hosur Inner Ring Road,SH208,primary,12.11,Short (<100km),63.34,0.7553,Good,True,TN_to_KA,HOSUR,12.758,77.7989,12.7581,77.7989,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",29,True,29,0.2,2.0,108
Inner Ring Road (Southern Sector),SH2A,primary,11.91,Short (<100km),67.05,0.8879,Good,True,Within_TN,Chennai → Sriperumbudur,12.9984,80.1922,12.997,80.1933,,,asphalt,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",52,True,52,0.2,2.0,109
Hesaraghatta Main Road,SH39,primary,11.76,Short (<100km),66.64,0.889,Good,True,TN_to_KA,Bengaluru → Electronic City,13.0516,77.5079,13.0452,77.5073,2.0,,asphalt,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",22,True,22,0.2,2.0,110
Semmozhi Salai,SHN14,primary,11.6,Short (<100km),65.74,0.8327,Good,True,Within_TN,Chennai,12.9173,80.1941,12.917,80.1942,,,,no,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",23,True,23,0.19,1.9,111
Polur - Chengam Road,SH133,primary,11.44,Short (<100km),55.38,0.4152,Good,True,Within_TN,Industrial corridor route,12.4382,79.0452,12.4878,79.1239,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",1,True,1,0.19,1.9,112
Chennai - Trichy - Dindugal Road (Old NH45),SHU6,primary,11.4,Short (<100km),61.29,0.6575,Good,True,Within_TN,CHENNAI,12.7097,79.9777,12.706,79.9773,2.0,,asphalt,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",13,True,13,0.19,1.9,113
Manali Oil Refinary Road,SH1A,primary,11.23,Short (<100km),67.5,0.9058,Good,True,Within_TN,Chennai,13.1765,80.2793,13.1761,80.2812,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",16,True,16,0.19,1.9,114
Thally - Jawalagiri - Karnataka State Border Road,SH264,primary,11.22,Short (<100km),62.42,0.6967,Good,True,TN_to_KA,Hosur → Electronic City,12.583,77.6574,12.4937,77.6301,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",1,True,1,0.19,1.9,115
Ramakuppam - Vijalapuram Road,SH510,primary,10.72,Short (<100km),57.83,0.5133,Good,True,TN_to_KA,Industrial corridor route,12.8341,78.4571,12.899,78.4862,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",1,True,1,0.18,1.8,116
Ranipet - Sholinghur Road,SH61A,primary,10.59,Short (<100km),57.55,0.5103,Good,True,Within_TN,RANIPET,13.0061,79.3895,12.9908,79.3722,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",11,True,11,0.18,1.8,117
Thally - Gummalapuram Road,SH263,primary,9.66,Short (<100km),63.45,0.7382,Good,True,TN_to_KA,Hosur → Electronic City,12.6615,77.6777,12.5988,77.6715,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",1,True,1,0.16,1.6,118
